id,recipient_primary_major,recipient_secondary_majors,recipient_graduation_date,recipient_education_level,recipient_primary_college,recipient_gender,recipient_ethnicity,recipient_graduation_group_name,response_graduation_date,response_status,outcome,employer_name,employer_industry,employment_category,employment_type,job_function,job_position,employed_during_education,continuing_education_school,continuing_education_level,continuing_education_major,still_looking_option,not_seeking_option,annual_salary,pay_schedule,bonus_amount,other_compensation,job_alignment,el_participation,el_helpfulness,el_most_helpful
5355106,Philosophy,,5/10/2024,Bachelors,College Humanities & Sciences,Male,White/Caucasian,23-May,5/1/2023,submitted,Continuing Education,,,,,,,,University of Montanaâ€š Missoula,Masters,Law And Business (Jd/Mba),,,,,,,This position fails to meet my expectations,None of the above,,
5355107,Cybersecurity,,12/1/2022,Certificate,Missoula College,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355108,Pre-Engineering,,5/15/2021,,College Humanities & Sciences,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355109,Computer Sci-Mathematical Sci,,5/12/2023,Bachelors,College Humanities & Sciences,Male,White/Caucasian,23-May,5/1/2023,submitted,Working,Amazon,Internet & Software,Organization,Full-Time,Engineering - Web / Software,Software dev,,,,,,,12,Annual Salary,1000000,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement",Yes,"Internship, field experience, student teaching, practicum or clinical placement, Work with a faculty member on a research project"
5355110,Art,,5/12/2023,Certificate,College of the Arts and Media,Female,White/Caucasian,23-May,8/1/2023,submitted,Working,University of Montana,Higher Education,Organization,Part-Time,Data & Analytics,Data Base Manager,Yes,,,,,,38126.4,Hourly Wage,,,No opinion,"Internship, field experience, student teaching or clinical placement",No,None of the experiential learning activities I participated in at UM were helpful.
5355111,Spanish~Secondary Certification,Spanish,5/12/2023,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355112,Theatre~Pre-Nursing,Theatre,5/12/2023,Bachelors,College of the Arts and Media,Male,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,BLACK HILLS STATE UNIVERSITY,,,,,,,,,,,,
5355113,Art,,5/10/2024,Bachelors,College of the Arts and Media,Male,Native American/Alaskan Native,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355114,Economics,,5/10/2024,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355115,Sociology,,5/10/2024,Bachelors,College Humanities & Sciences,Male,White/Caucasian,23-May,5/1/2023,submitted,Working,Summit Beverage,Food & Beverage,Organization,Full-Time,Logistics & Supply Chain,Night time warehouse,Yes,,,,,,,Hourly Wage,,,No opinion,"Internship, field experience, student teaching or clinical placement",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement"
5355116,General AA,,5/1/2026,Bachelors,Missoula College,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355117,Management Information Systems~International Business,Management Information Systems,5/12/2023,Bachelors,College of Business,Female,,23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
5355118,Pharmacy,,5/1/2026,Masters,College of Health,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355119,Pharmacy,,5/1/2026,,College of Health,Female,,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355120,Finance~Economics,Finance,5/12/2023,Bachelors,College of Business,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,"Indigo Partners, LLC",Investment Banking,Organization,Full-Time,Finance,Financial Analyst,,,,,,,65000,Annual Salary,,,This position exceeds my expectations,"Internship, field experience, student teaching or clinical placement, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
5355121,Pharmacy,,5/1/2026,,College of Health,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355122,Pharmacy,,5/1/2026,Doctorate,College of Health,Female,White/Caucasian,23-May,,submitted,Working,Other,,Organization,Full-Time,,,,,,,,,,,,,,,,
5355123,Music~Secondary Certification,Music,5/12/2023,Bachelors,College of the Arts and Media,Male,,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355124,Art~German,Art,5/12/2023,Bachelors,College of the Arts and Media,Male,White/Caucasian,23-May,5/1/2023,submitted,Working,University of Montana Maureen and Mike Mansfield Library,Higher Education,Organization,Part-Time,Library Science,Library Tech II,Yes,,,,,,33862.4,Hourly Wage,,,This position fails to meet my expectations,None of the above,,
5355125,Psychology,,5/1/2026,Associates,College Humanities & Sciences,Female,Latino(a),23-May,5/1/2026,submitted,Continuing Education,,,,,,,,University of Montanaâ€š Missoula,Bachelors,Clinical Psychology,,,,,,,This position meets my expectations,None of the above,,
5355126,Pharmacy~Business Administration,Pharmacy,4/30/2021,Bachelors,College of Health,Male,White/Caucasian,23-May,5/1/2023,submitted,Working,Providence,Healthcare,Organization,Full-Time,Healthcare Services,PGY! Pharmacist Resident,,,,,,,70075,Annual Salary,0,0,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement"
5355127,Pharmacy~Pharmaceutical Sciences,Pharmacy,12/16/2022,Bachelors,College of Health,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355128,Microbiology~Medical Laboratory Science,Microbiology,5/12/2023,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,"Veterans Affairs, Veterans Health Administration",Healthcare,Organization,Full-Time,Lab Work/Science,Medical Laboratory Scientist,,,,,,,67382,Annual Salary,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5355129,Pharmacy,,5/1/2026,Doctorate,College of Health,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Walgreens,Retail Stores,Organization,Full-Time,Healthcare Services,Pharmacy Grad Intern,,,,,,,69680,Hourly Wage,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Community-based project (service learning or volunteer)",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement, Community-based project (service learning or volunteerism)"
5355130,Registered Nursing,,12/12/2014,Bachelors,Missoula College,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Community Medical Center,Healthcare,Organization,Full-Time,Healthcare Services,Registered Nurse,,,,,,,65000,Annual Salary,5000,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5355131,Pharmacy,,5/1/2026,,College of Health,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355132,Native American Studies,Anthropology,5/12/2023,Bachelors,College Humanities & Sciences,Female,,23-May,5/1/2023,submitted,Working,University of Montana,Higher Education,Organization,Full-Time,Healthcare Services,Health Equity and Community Engagement Specialist,Yes,,,,,,55000,Annual Salary,,,This position meets my expectations,None of the above,,
5355133,"Parks, Tourism &Rec Management",,5/12/2023,Bachelors,College of Forestry & Conserv,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355134,Enviro Sci and Sustainability,,8/16/2019,Associates,College of Forestry & Conserv,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355135,Applied Science,,5/12/2023,,College Humanities & Sciences,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355136,Management & Entrepreneurship,,5/12/2023,Bachelors,College of Business,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355137,Computer Science,,5/10/2024,Bachelors,College Humanities & Sciences,Male,Asian/Asian American,23-May,5/1/2023,submitted,Working,"Tempest Technologies, LLC",Internet & Software,Organization,Full-Time,Engineering - Web / Software,Software Developer,Yes,,,,,,,Annual Salary,,,No opinion,"Internship, field experience, student teaching or clinical placement, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5355138,Physics,,5/12/2023,,College Humanities & Sciences,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355139,Communication Studies,,12/17/2021,Associates,College Humanities & Sciences,Female,Asian/Asian American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355140,Diesel Technology~Heavy Equipment Operation,Diesel Technology,5/1/2026,Associates,Missoula College,Female,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
5355141,Psychology,,5/12/2023,Bachelors,College Humanities & Sciences,Male,White/Caucasian,23-May,5/1/2023,submitted,Still Looking,,,,,,,,,,,Employment,,,,,,No opinion,None of the above,,
5355142,Pharmacy,,5/1/2026,,College of Health,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355143,Early Childhood Education: P-3~ECE P-3,Early Childhood Education: P-3,5/10/2024,Bachelors,College of Education,Female,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,Unknown,,,,,,,,,,,,
5355144,Geosciences~Pre-Law,Geosciences,5/10/2024,Bachelors,College Humanities & Sciences,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355145,Pharmacy~Biology,Pharmacy,5/3/2019,Bachelors,College of Health,Female,White/Caucasian,23-May,5/1/2023,submitted,Still Looking,,,,,,,,,,,Employment,,,,,,This position meets my expectations,None of the above,,
5355146,Accounting,,5/12/2023,Masters,College of Business,Male,White/Caucasian,23-May,,submitted,Working,Not provided,,Organization,Full-Time,,,,,,,,,,,,,,,,
5355147,Enviro Sci and Sustainability,Resource Conservation,5/10/2024,Bachelors,College of Forestry & Conserv,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Lincoln County,Forestry,Organization,Full-Time,Environmental / Sustainability Mgmt,Forester tech,Yes,,,,,,39520,Hourly Wage,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5355148,History,,11/25/2020,Associates,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355149,Management Information Systems~Cybersecurity Management,Management Information Systems,5/10/2024,Bachelors,College of Business,Female,Native American/Alaskan Native,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355150,Environmental Studies~Native American Studies,Environmental Studies,12/17/2021,Associates,College Humanities & Sciences,Male,Native American/Alaskan Native,23-May,5/1/2023,submitted,Still Looking,,,,,,,,,,,Employment,,,,,,No opinion,"Internship, field experience, student teaching or clinical placement, First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)",Neutral,"Internship, field experience, student teaching, practicum or clinical placement, First year course taken during freshman year on college success skills (goal-setting, study skills, campus resources, etc)"
5355151,Creative Writing,,5/12/2023,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355152,Commun Sci & Disorders,,5/10/2023,Bachelors,College of Health,Female,White/Caucasian,23-May,5/1/2023,submitted,Continuing Education,,,,,,,,University of Montanaâ€š Missoula,Masters,Speech Language Pathology,,,,,,,No opinion,None of the above,,
5355153,Welding Technology,,5/10/2024,Bachelors,Missoula College,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355154,Elementary Education~Elementary Certification,Elementary Education,5/12/2023,Associates,College of Education,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Konocti Unified School District,K-12 Education,Organization,Full-Time,Education / Teaching / Training,1st Grade Teacher,,,,,,,55000,Annual Salary,5000,,This position exceeds my expectations,"Internship, field experience, student teaching or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement"
5355155,Pharmacy,,5/1/2026,,College of Health,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355156,Psychology,,5/10/2024,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
5355157,"Parks, Tourism &Rec Management",,5/10/2024,Bachelors,College of Forestry & Conserv,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355158,Political Science,"Women's And Gender Studies, Women's, Gender & Sexuality St",5/10/2024,Bachelors,College Humanities & Sciences,Female,Native American/Alaskan Native,23-May,5/1/2023,submitted,Continuing Education,,,,,,,,University of Montanaâ€š Missoula,Masters,Master of Arts political science ,,,,,,,No opinion,"Internship, field experience, student teaching or clinical placement",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5355159,Sustainable Construction Tech~Facility Management~Carpentry,Sustainable Construction Tech,5/13/2022,Associates,Missoula College,Female,Latino(a),23-May,,,,,,,,,,,,,,,,,,,,,,,
5355160,Administrative Management~Business Media Design,Administrative Management,5/1/2025,Associates,Missoula College,Female,Native American/Alaskan Native,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355161,Pharmacy~Pharmaceutical Sciences,Pharmacy,5/13/2022,Bachelors,College of Health,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Walgreens,Retail Stores,Organization,Full-Time,Healthcare Services,Pharmacist,,,,,,,125944,Hourly Wage,75000,,This position meets my expectations,None of the above,,
5355162,Anthropology,,5/10/2024,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Brad Lipnici and Mike Hubber,Other Industries,Temporary/Contract Work Assignment,Full-Time,Other,Cleaning the U of M buildings,Yes,,,,,,29640,Hourly Wage,,,No opinion,"Internship, field experience, student teaching or clinical placement, Community-based project (service learning or volunteer)",No,"Internship, field experience, student teaching, practicum or clinical placement"
5355163,Computer Science,,4/30/2021,Associates,College Humanities & Sciences,Male,,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355164,Marketing~Spanish,Marketing,5/12/2023,Bachelors,College of Business,Male,White/Caucasian,23-May,,submitted,Working,Not provided,,Organization,Full-Time,,,,,,,,,,,,,,,,
5355165,Political Science~Communication Studies~Pre-Law,General AA,5/3/2019,Associates,College Humanities & Sciences,Female,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,Unknown,,,,,,,,,,,,
5355166,Management Information Systems~Cybersecurity Management,Management Information Systems,11/25/2020,Associates,College of Business,Male,,23-May,5/1/2023,submitted,Working,"Fast Enterprises, LLC",Internet & Software,Organization,Full-Time,Consulting,Implementation Consultant,,,,,,,95000,Annual Salary,10000,4000,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Community-based project (service learning or volunteer), Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Neutral,"Internship, field experience, student teaching, practicum or clinical placement, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
5355167,Sustainable Construction Tech~Carpentry,Carpentry,8/14/2020,Certificate,Missoula College,Male,White/Caucasian,23-May,5/1/2023,submitted,Working,frame of mind,Construction,Organization,Full-Time,Construction / Contracting,Custom Picture Framer ,Yes,,,,,,37440,Hourly Wage,0,0,This position meets my expectations,None of the above,,
5355168,Finance,,5/12/2023,Bachelors,College of Business,Female,Asian/Asian American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355169,International Field Geos Dual,,5/10/2024,,College Humanities & Sciences,Female,Asian/Asian American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355170,English,,5/12/2023,Bachelors,College Humanities & Sciences,Female,Latino(a),23-May,5/1/2023,submitted,Working,Missoula City County Health Department,"Government - Local, State & Federal",Organization,Full-Time,Data & Analytics,Data and reports ,,,,,,,41600,Hourly Wage,,,No opinion,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",No,None of the experiential learning activities I participated in at UM were helpful.
5355171,Biology,,5/12/2023,Bachelors,College Humanities & Sciences,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355172,Anthropology,,5/10/2024,Bachelors,College Humanities & Sciences,Female,,23-May,5/1/2023,submitted,Working,Cultural Resource Facility ,Research,Temporary/Contract Work Assignment,Full-Time,Research,Research associate ,,,,,,,43680,Hourly Wage,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5355173,Sociology,,5/10/2024,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355174,Biology,,5/6/2023,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,University of Montana,Research,Temporary/Contract Work Assignment,Full-Time,Lab Work/Science,Field Assistant,Yes,,,,,,35360,Hourly Wage,0,0,This position meets my expectations,"Internship, field experience, student teaching or clinical placement",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5355175,Anthropology~Sociology,Anthropology,5/8/2020,Associates,College Humanities & Sciences,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355176,Registered Nursing,,5/1/2025,,Missoula College,Female,Black or African American,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355177,Psychology,,5/3/2019,Associates,College Humanities & Sciences,Female,White/Caucasian,23-May,5/1/2023,submitted,Still Looking,,,,,,,,,,,Employment,,,,,,No opinion,None of the above,,
5355178,Neuroscience,,5/12/2023,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355179,Pharmacy,Pharmacy,5/1/2026,Doctorate,College of Health,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,Rathdrum Drug,Retail Stores,Organization,Full-Time,Healthcare Services,Pharmacist,,,,,,,,Hourly Wage,,,This position exceeds my expectations,"Internship, field experience, student teaching or clinical placement, Community-based project (service learning or volunteer)",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5355180,Anthropology~Pre-Law,Anthropology,5/10/2024,Masters,College Humanities & Sciences,Female,Native American/Alaskan Native,23-May,5/1/2023,submitted,Continuing Education,,,,,,,,Montana Tech of The University of Montana,Masters,Indigenous Cultural Preservation,,,,,,,This position exceeds my expectations,"Internship, field experience, student teaching or clinical placement",Neutral,"Internship, field experience, student teaching, practicum or clinical placement"
5355181,Anthropology,,5/1/2025,Bachelors,College Humanities & Sciences,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355182,Art,,5/12/2023,Bachelors,College of the Arts and Media,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355183,Communication Studies~Native American Studies,Communication Studies,5/10/2024,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
5355184,Management Information Systems,,12/14/2012,Bachelors,College of Business,Male,White/Caucasian,23-May,,submitted,Working,Not provided,,Organization,Full-Time,,,,,,,,,,,,,,,,
5355185,Journalism~Global Leadership,Journalism,5/5/2023,Bachelors,College of the Arts and Media,Male,,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355186,Pharmacy,,5/1/2026,Doctorate,College of Health,Male,White/Caucasian,23-May,5/1/2023,submitted,Working,Albertsons Companies,Pharmaceuticals,Organization,Full-Time,Healthcare Services,Pharmacist,,,,,,,133120,Hourly Wage,30000,,This position meets my expectations,None of the above,,
5355187,Communication Studies,,5/1/2025,Associates,College Humanities & Sciences,Female,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
5355188,Theatre,,5/10/2024,Bachelors,College of the Arts and Media,Male,White/Caucasian,23-May,,submitted,Working,Other,,Organization,Full-Time,,,,,,,,,,,,,,,,
5355189,"Women's, Gender & Sexuality St",,5/10/2024,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,PFL,Internet & Software,Freelancer,Full-Time,Education / Teaching / Training,Nanny,Yes,,,,,,65000,Annual Salary,,,This position meets my expectations,"Community-based project (service learning or volunteer), Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",No,None of the experiential learning activities I participated in at UM were helpful.
5355190,Medical Information Technology~Medical Reception,Medical Information Technology,5/13/2022,Certificate,Missoula College,Female,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,Unknown,,,,,,,,,,,,
5355191,Social Work,,5/10/2024,Bachelors,College of Health,Female,White/Caucasian,23-May,5/1/2024,submitted,Working,Mountain Home Montana (a Work-Study employer!),Non-Profit - Other,Organization,Full-Time,Community & Social Services,Children's Case Manager ,Yes,,,,,,,,,,This position exceeds my expectations,"Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5355192,Native American Studies,,5/8/2020,Associates,College Humanities & Sciences,Male,Native American/Alaskan Native,23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
5355193,"Parks, Tourism &Rec Management",,5/12/2023,Bachelors,College of Forestry & Conserv,Female,White/Caucasian,23-May,5/1/2023,submitted,Working,University of Montana,Higher Education,Temporary/Contract Work Assignment,Full-Time,Research,Field technician ,,,,,,,41600,Hourly Wage,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement, Community-based project (service learning or volunteerism), Work with a faculty member on a research project, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)"
5355194,Media Arts,,5/8/2020,Associates,College of the Arts and Media,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355195,Social Work,,5/10/2024,Bachelors,College of Health,Female,Native American/Alaskan Native,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355196,Elementary Education~Elementary Certification,Elementary Education,5/12/2023,Bachelors,College of Education,Female,Asian/Asian American,23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
5355197,Social Work,,5/10/2024,Bachelors,College of Health,Female,White/Caucasian,23-May,5/1/2023,submitted,Continuing Education,,,,,,,,Boise State University,Masters,Masters of Social Work,,,,,,,No opinion,"Internship, field experience, student teaching or clinical placement",Neutral,"Internship, field experience, student teaching, practicum or clinical placement"
5355198,Management & Entrepreneurship,,5/12/2023,Bachelors,College of Business,Male,White/Caucasian,23-May,,submitted,Working,Not provided,,Organization,Full-Time,,,,,,,,,,,,,,,,
5355199,"Women's, Gender & Sexuality St",,5/10/2024,Bachelors,College Humanities & Sciences,Female,Latino(a),23-May,5/1/2023,submitted,Working,Planned Parenthood of Montana,Healthcare,Organization,Full-Time,Administration,Meds by Mail coordinator ,Yes,,,,,,,,,,No opinion,None of the above,,
5355200,Psychology,,5/16/2009,Certificate,College Humanities & Sciences,Female,Latino(a),23-May,5/1/2023,submitted,Working,Aralia Health,Healthcare,Organization,Full-Time,Healthcare Services,Medical Assistant,Yes,,,,,,33280,Hourly Wage,,,No opinion,Community-based project (service learning or volunteer),Yes,None of the experiential learning activities I participated in at UM were helpful.
5355201,Medical Information Technology~Medical Reception,Medical Information Technology,5/10/2008,Bachelors,Missoula College,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355202,Psychology,,5/12/2023,Bachelors,College Humanities & Sciences,Female,White/Caucasian,23-May,5/1/2023,submitted,Still Looking,,,,,,,,,,,Continuing Education,,,,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement",Somewhat,"Internship, field experience, student teaching, practicum or clinical placement"
5355203,Undeclared,,5/1/2026,Masters,College Humanities & Sciences,Female,,23-May,,submitted,Working,Not provided,,Organization,Full-Time,,,,,,,,,,,,,,,,
5355204,Elementary Education~Elementary Certification,Elementary Education,5/12/2023,Bachelors,College of Education,Male,White/Caucasian,23-May,5/1/2023,submitted,Working,Kalispell Public Schools,K-12 Education,Organization,Full-Time,Education / Teaching / Training,6th Grade Math Teacher,Yes,,,,,,,Annual Salary,,,This position meets my expectations,"Internship, field experience, student teaching or clinical placement, Learning community or other formal program in which one group of students takes two or more classes together",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5355205,Multidisciplinary Studies,,7/29/2022,Associates,College Humanities & Sciences,Male,Native American/Alaskan Native,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355206,Social Work,,5/12/2023,Bachelors,College of Health,Female,,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355207,Pharmacy~Biology,Pharmacy,5/3/2019,Bachelors,College of Health,Male,,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355208,Finance,,5/10/2024,,College of Business,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355209,Culinary Arts,,5/1/2027,Associates,Missoula College,Female,White/Caucasian,23-May,5/1/2023,submitted,Continuing Education,,,,,,,,University of Montanaâ€š Missoula,Associates,Culinary Arts,,,,,,,No opinion,"Internship, field experience, student teaching or clinical placement",Yes,"Internship, field experience, student teaching, practicum or clinical placement"
5355210,Management Information Systems~Cybersecurity Management,Management Information Systems,12/16/2022,Associates,College of Business,Male,Native Hawaiian/Pacific Islander,23-May,5/1/2023,submitted,Continuing Education,,,,,,,,University of Montanaâ€š Missoula,Doctorate,Jd/Mpa,,,,,,,No opinion,"Learning community or other formal program in which one group of students takes two or more classes together, Complete a culminating senior experience (capstone, senior project or thesis, comprehensive exam, portfolio, etc)",Somewhat,None of the experiential learning activities I participated in at UM were helpful.
5355211,Resource Conservation,,4/1/2023,Bachelors,College of Forestry & Conserv,Male,Latino(a),23-May,4/1/2023,submitted,Working,USDA Forest Service,Forestry,Organization,Full-Time,Environmental / Sustainability Mgmt,Forestry Technician,Yes,,,,,,55000,Annual Salary,,,This position meets my expectations,None of the above,,
5355212,Anthropology,,4/24/2020,Bachelors,College Humanities & Sciences,Female,Latino(a),23-May,,,,,,,,,,,,,,,,,,,,,,,
5355213,English~Secondary Certification,English,5/12/2023,Bachelors,College Humanities & Sciences,Male,White/Caucasian,23-May,5/1/2023,submitted,Working,St. Ignatius Public Schools District #28,K-12 Education,Organization,Full-Time,Education / Teaching / Training,High School English Teacher,,,,,,,33000,Annual Salary,,,This position meets my expectations,None of the above,,
5355214,Commun Sci & Disorders,,5/12/2023,Bachelors,College of Health,Female,,23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
5355215,Forestry,,4/30/2021,Associates,College of Forestry & Conserv,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355216,Integrative Physiology,,5/12/2023,,College of Health,Male,White/Caucasian,23-May,,,,,,,,,,,,,,,,,,,,,,,
5355217,Sustainable Construction Tech~Construction Management,Sustainable Construction Tech,5/10/2024,Non-Degree Seeking,Missoula College,Male,White/Caucasian,23-May,4/1/2023,submitted,Working,Missoula Concrete Construction,Construction,Organization,Full-Time,Construction / Contracting,Crane operator,Yes,,,,,,,Hourly Wage,,,This position meets my expectations,None of the above,,
5355218,Accounting Technology,,5/1/2026,Bachelors,Missoula College,Female,White/Caucasian,23-May,,submitted,Continuing Education,,,,,,,,UNIVERSITY OF MONTANA,,,,,,,,,,,,
